iteration,avg_best_distance
1,416153.45697651856
2,402681.4926740695
3,391960.9483733245
4,383867.56281770486
5,376206.5524615392
6,369403.5005538345
7,362307.75858418434
8,359855.99438199063
9,355958.6328256417
10,351506.650161514
11,346292.9835259173
12,342008.53499117785
13,339734.66568871046
14,337170.2143668319
15,333649.53563060315
16,331389.5008143221
17,329299.63577015884
18,327335.80195234943
19,323455.12217815086
20,321834.7450271351
21,321097.6016777319
22,319842.1809111627
23,318117.29181345267
24,317279.48276751715
25,315402.6268137963
26,314524.6584167326
27,313716.3491880411
28,311916.3739117079
29,311494.4511177611
30,310816.2371454195
31,310061.2968393907
32,309556.7882281401
33,308998.9719971997
34,308760.0416721558
35,308556.26883343194
36,307989.5933310529
37,307749.91793458903
38,307560.2108903907
39,307150.2811682107
40,306968.36818492785
41,306712.64565444726
42,306506.00461751723
43,306476.17194815987
44,306062.4319043386
45,305661.7426635533
46,305419.76320829097
47,305392.96558111015
48,305050.8426323915
49,304837.56866455014
50,304741.081641034
51,304728.2916474679
52,304592.95958703343
53,304306.0485073142
54,304263.04352027294
55,304227.0391571429
56,304212.4494065384
57,304178.704788336
58,304117.98388564296
59,304032.4977806756
60,303994.5428088929
61,303785.93268303014
62,303414.68836286396
63,303400.0922363735
64,303400.0922363735
65,303287.0789575264
66,303287.0789575264
67,303231.78314340144
68,303222.9795150908
69,303194.01239804324
70,303194.01239804324
71,303124.9993148263
72,302988.025866875
73,302974.1409925475
74,302954.95343173685
75,302860.2947427879
76,302860.2947427879
77,302790.0044039101
78,302790.0044039101
79,302780.23582089174
80,302669.6503417438
81,302669.6503417438
82,302589.3086304247
83,302096.6656321168
84,301940.4052751411
85,301898.17331107863
86,301896.71877971204
87,301896.71877971204
88,301664.09786363767
89,301664.09786363767
90,301661.1361320101
91,301575.059699544
92,301570.6031242037
93,301570.6031242037
94,301553.8127656592
95,301553.8127656592
96,301514.81931899267
97,301473.8870756763
98,301432.39722542866
99,301318.61807868205
100,301245.624403973
101,301235.6206165691
102,301235.6206165691
103,301028.3955959745
104,301019.44609077467
105,301019.44609077467
106,301019.44609077467
107,300960.0441756516
108,300953.6583620584
109,300941.0680009743
110,300941.0680009743
111,300941.0680009743
112,300941.0680009743
113,300941.0680009743
114,300895.3443334437
115,300832.3922731106
116,300832.3922731106
117,300229.06967638
118,300148.72796506097
119,299937.26122613775
120,299937.26122613775
121,299333.61510792735
122,299235.34455026686
123,299232.5961061806
124,299232.5961061806
125,299207.39941594825
126,299207.39941594825
127,299156.38906709856
128,299133.78434041445
129,299121.37873188447
130,299084.19227108586
131,298845.3010598859
132,298845.3010598859
133,298781.2567528428
134,298781.2567528428
135,298781.2567528428
136,298770.2465428692
137,298692.43752178765
138,298692.43752178765
139,298692.43752178765
140,298655.5282345356
141,298561.56770523614
142,298561.56770523614
143,298548.2119828232
144,298411.41367035604
145,298411.41367035604
146,298411.41367035604
147,298411.41367035604
148,298374.17139522027
149,298374.17139522027
150,298374.17139522027
151,298367.7451617968
152,298367.0326292441
153,298352.7045338091
154,298329.6770056486
155,298323.01401850884
156,298323.01401850884
157,298322.33309173555
158,298249.727554405
159,298193.7622938325
160,298193.7622938325
161,298193.7622938325
162,298193.7622938325
163,298141.98858716275
164,298132.5756844543
165,298132.5756844543
166,298132.5756844543
