iteration,avg_best_distance
1,297100.430840814
2,297100.430840814
3,297100.430840814
4,297100.430840814
5,297100.430840814
6,297100.430840814
7,297100.430840814
8,297100.430840814
9,297100.430840814
10,297100.430840814
11,297100.430840814
12,297100.430840814
13,297100.430840814
14,297100.430840814
15,297100.430840814
16,297100.430840814
17,297100.430840814
18,297100.430840814
19,297100.430840814
20,297100.430840814
21,297100.430840814
22,297100.430840814
23,297100.430840814
24,297100.430840814
25,297100.430840814
26,297100.430840814
27,297100.430840814
28,297100.430840814
29,297100.430840814
30,297100.430840814
31,297100.430840814
32,297100.430840814
33,297100.430840814
34,297100.430840814
35,297100.430840814
36,297100.430840814
37,297100.430840814
38,297100.430840814
39,297100.430840814
40,297100.430840814
41,297100.430840814
42,297100.430840814
43,297100.430840814
44,297100.430840814
45,297100.430840814
46,297100.430840814
47,297100.430840814
48,297100.430840814
49,297100.430840814
50,297100.430840814
51,297100.430840814
52,297100.430840814
53,297100.430840814
54,297100.430840814
55,297100.430840814
56,297100.430840814
57,297100.430840814
58,297100.430840814
59,297100.430840814
60,297100.430840814
61,297100.430840814
62,297100.430840814
63,297100.430840814
64,297100.430840814
65,297100.430840814
66,297100.430840814
67,297100.430840814
68,297100.430840814
69,297100.430840814
70,297100.430840814
71,297100.430840814
72,297100.430840814
73,297100.430840814
74,297100.430840814
75,297100.430840814
76,297100.430840814
77,297100.430840814
78,297100.430840814
79,297100.430840814
80,297100.430840814
81,297100.430840814
82,297100.430840814
83,297100.430840814
84,297100.430840814
85,297100.430840814
86,297100.430840814
87,297100.430840814
88,297100.430840814
89,297100.430840814
90,297100.430840814
91,297100.430840814
92,297100.430840814
93,297100.430840814
94,297100.430840814
95,297100.430840814
96,297100.430840814
97,297100.430840814
98,297100.430840814
99,297100.430840814
100,297100.430840814
101,297100.430840814
102,297100.430840814
103,297100.430840814
104,297100.430840814
105,297100.430840814
106,297100.430840814
107,297100.430840814
108,297100.430840814
109,297100.430840814
110,297100.430840814
111,297100.430840814
112,297100.430840814
113,297100.430840814
114,297100.430840814
115,297100.430840814
116,297100.430840814
117,297100.430840814
118,297100.430840814
119,297100.430840814
120,297100.430840814
121,297100.430840814
122,297100.430840814
123,297100.430840814
124,297100.430840814
125,297100.430840814
126,297100.430840814
127,297100.430840814
128,297100.430840814
129,297100.430840814
130,297100.430840814
131,297100.430840814
132,297100.430840814
133,297100.430840814
134,297100.430840814
135,297100.430840814
136,297100.430840814
137,297100.430840814
138,297100.430840814
139,297100.430840814
140,297100.430840814
141,297100.430840814
142,297100.430840814
143,297100.430840814
144,297100.430840814
145,297100.430840814
146,297100.430840814
147,297100.430840814
148,297100.430840814
149,297100.430840814
150,297100.430840814
151,297100.430840814
152,297100.430840814
153,297100.430840814
154,297100.430840814
155,297100.430840814
156,297100.430840814
157,297100.430840814
158,297100.430840814
159,297100.430840814
160,297100.430840814
161,297100.430840814
162,297100.430840814
163,297100.430840814
164,297100.430840814
165,297100.430840814
166,297100.430840814
167,297100.430840814
168,297100.430840814
169,297100.430840814
170,297100.430840814
171,297100.430840814
172,297100.430840814
173,297100.430840814
174,297100.430840814
175,297100.430840814
176,297100.430840814
177,297100.430840814
178,297100.430840814
179,297100.430840814
180,297100.430840814
181,297100.430840814
182,297100.430840814
183,297100.430840814
184,297100.430840814
185,297100.430840814
186,297100.430840814
187,297100.430840814
188,297100.430840814
189,297100.430840814
190,297100.430840814
191,297100.430840814
192,297100.430840814
193,297100.430840814
194,297100.430840814
195,297100.430840814
196,297100.430840814
197,297100.430840814
198,297100.430840814
199,297100.430840814
200,297100.430840814
201,297100.430840814
202,297100.430840814
203,297100.430840814
204,297100.430840814
205,297100.430840814
206,297100.430840814
207,297100.430840814
208,297100.430840814
209,297100.430840814
210,297100.430840814
211,297100.430840814
212,297100.430840814
213,297100.430840814
214,297100.430840814
215,297100.430840814
216,297100.430840814
217,297100.430840814
218,297100.430840814
219,297100.430840814
220,297100.430840814
221,297100.430840814
222,297100.430840814
223,297100.430840814
224,297100.430840814
225,297100.430840814
226,297100.430840814
227,297100.430840814
228,297100.430840814
229,297100.430840814
230,297100.430840814
231,297100.430840814
232,297100.430840814
233,297100.430840814
234,297100.430840814
235,297100.430840814
236,297100.430840814
237,297100.430840814
238,297100.430840814
239,297100.430840814
240,297100.430840814
241,297100.430840814
242,297100.430840814
243,297100.430840814
244,297100.430840814
245,297100.430840814
246,297100.430840814
247,297100.430840814
248,297100.430840814
249,297100.430840814
250,297100.430840814
251,297100.430840814
252,297100.430840814
253,297100.430840814
254,297100.430840814
255,297100.430840814
256,297100.430840814
257,297100.430840814
258,297100.430840814
259,297100.430840814
260,297100.430840814
261,297100.430840814
262,297100.430840814
263,297100.430840814
264,297100.430840814
265,297100.430840814
266,297100.430840814
267,297100.430840814
268,297100.430840814
269,297100.430840814
270,297100.430840814
271,297100.430840814
272,297100.430840814
273,297100.430840814
274,297100.430840814
275,297100.430840814
276,297100.430840814
277,297100.430840814
278,297100.430840814
279,297100.430840814
280,297100.430840814
281,297100.430840814
282,297100.430840814
283,297100.430840814
284,297100.430840814
285,297100.430840814
286,297100.430840814
287,297100.430840814
288,297100.430840814
289,297100.430840814
290,297100.430840814
291,297100.430840814
292,297100.430840814
293,297100.430840814
294,297100.430840814
295,297100.430840814
296,297100.430840814
297,297100.430840814
298,297100.430840814
299,297100.430840814
300,297100.430840814
301,297100.430840814
302,297100.430840814
303,297100.430840814
304,297100.430840814
305,297100.430840814
306,297100.430840814
307,297100.430840814
308,297100.430840814
309,297100.430840814
310,297100.430840814
311,297100.430840814
312,297100.430840814
313,297100.430840814
314,297100.430840814
315,297100.430840814
316,297100.430840814
317,297100.430840814
318,297100.430840814
319,297100.430840814
320,297100.430840814
321,297100.430840814
322,297100.430840814
323,297100.430840814
324,297100.430840814
325,297100.430840814
326,297100.430840814
327,297100.430840814
328,297100.430840814
329,297100.430840814
330,297100.430840814
331,297100.430840814
332,297100.430840814
333,297100.430840814
334,297100.430840814
335,297100.430840814
336,297100.430840814
337,297100.430840814
338,297100.430840814
339,297100.430840814
340,297100.430840814
341,297100.430840814
342,297100.430840814
343,297100.430840814
344,297100.430840814
