algorithm,run,tour,distance_m
MMAS,24,13 -> 11 -> 3 -> 4 -> 5 -> 9 -> 2 -> 6 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 17 -> 16 -> 15 -> 18 -> 19,284581.3712692738
MMAS,25,16 -> 17 -> 15 -> 18 -> 19 -> 13 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 11 -> 10 -> 12 -> 20 -> 23 -> 22 -> 21 -> 24,284023.65910604625
MMAS,26,9 -> 2 -> 6 -> 8 -> 0 -> 1 -> 7 -> 14 -> 5 -> 4 -> 3 -> 13 -> 11 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19,286695.90820140275
MMAS,27,12 -> 10 -> 14 -> 9 -> 2 -> 6 -> 8 -> 0 -> 1 -> 7 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20,283772.8971088519
MMAS,28,13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19,283936.29646365496
MMAS,29,21 -> 24 -> 16 -> 17 -> 15 -> 18 -> 19 -> 13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 20 -> 23 -> 22,283761.47633153194
MMAS,30,13 -> 11 -> 3 -> 4 -> 5 -> 9 -> 2 -> 6 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19,283936.29646365496
ACS,1,19 -> 13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18,283936.29646365496
ACS,2,19 -> 13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18,283936.29646365496
ACS,3,3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 12 -> 10 -> 11 -> 13 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20 -> 19,287729.42087393225
ACS,4,3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 12 -> 10 -> 11 -> 13 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20 -> 19,287729.42087393225
