algorithm,run,tour,distance_m
SA,9,4 -> 5 -> 6 -> 9 -> 2 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19 -> 13 -> 11 -> 3,283936.29646365624
SA,10,9 -> 2 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20 -> 12 -> 10 -> 14 -> 7 -> 1 -> 0 -> 8 -> 6,283761.4763315244
SA,11,7 -> 1 -> 0 -> 8 -> 6 -> 2 -> 9 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 22 -> 23 -> 20 -> 21 -> 24 -> 12 -> 10 -> 14,283936.2964636569
SA,12,8 -> 6 -> 9 -> 2 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20 -> 12 -> 10 -> 14 -> 7 -> 1 -> 0,283761.4763315331
SA,13,11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20 -> 12 -> 10 -> 14 -> 7 -> 1 -> 0 -> 8 -> 2 -> 9 -> 6 -> 5 -> 4 -> 3,283761.47633152915
SA,14,10 -> 12 -> 20 -> 23 -> 22 -> 21 -> 24 -> 16 -> 17 -> 15 -> 18 -> 19 -> 13 -> 11 -> 3 -> 4 -> 5 -> 2 -> 9 -> 6 -> 8 -> 0 -> 1 -> 7 -> 14,283761.4763315252
SA,15,2 -> 9 -> 6 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 22 -> 23 -> 20 -> 21 -> 24 -> 12 -> 10 -> 14 -> 7 -> 1 -> 0 -> 8,283936.29646365385
SA,16,22 -> 23 -> 20 -> 12 -> 10 -> 14 -> 7 -> 1 -> 0 -> 8 -> 6 -> 2 -> 9 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21,283761.4763315292
SA,17,14 -> 7 -> 1 -> 0 -> 8 -> 9 -> 2 -> 6 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20 -> 12 -> 10,283761.4763315409
SA,18,8 -> 6 -> 2 -> 9 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20 -> 12 -> 10 -> 14 -> 7 -> 1 -> 0,283761.47633153544
SA,19,18 -> 15 -> 17 -> 16 -> 22 -> 23 -> 20 -> 21 -> 24 -> 12 -> 10 -> 14 -> 7 -> 1 -> 0 -> 8 -> 9 -> 2 -> 6 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19,283936.2964636566
SA,20,4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20 -> 12 -> 10 -> 14 -> 7 -> 1 -> 0 -> 8 -> 6 -> 2 -> 9 -> 5,283761.47633153165
SA,21,15 -> 18 -> 19 -> 13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 9 -> 2 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 20 -> 23 -> 22 -> 21 -> 24 -> 16 -> 17,283761.47633153247
SA,22,14 -> 9 -> 2 -> 6 -> 7 -> 1 -> 0 -> 8 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 22 -> 23 -> 20 -> 21 -> 24 -> 12 -> 10,283947.7172409746
SA,23,12 -> 10 -> 14 -> 7 -> 1 -> 0 -> 8 -> 6 -> 9 -> 2 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 22 -> 23 -> 20 -> 21 -> 24,283936.29646365414
SA,24,14 -> 7 -> 1 -> 0 -> 8 -> 6 -> 2 -> 9 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 22 -> 23 -> 20 -> 21 -> 24 -> 12 -> 10,283936.29646365385
SA,25,23 -> 20 -> 12 -> 10 -> 14 -> 9 -> 2 -> 0 -> 7 -> 1 -> 8 -> 6 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22,283966.73058526893
SA,26,23 -> 20 -> 12 -> 10 -> 14 -> 7 -> 1 -> 0 -> 8 -> 2 -> 9 -> 6 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22,283761.47633152985
SA,27,18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20 -> 12 -> 10 -> 14 -> 7 -> 1 -> 0 -> 8 -> 9 -> 2 -> 6 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19,283761.47633153695
SA,28,24 -> 16 -> 17 -> 15 -> 18 -> 19 -> 13 -> 11 -> 3 -> 4 -> 5 -> 9 -> 2 -> 6 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 20 -> 23 -> 22 -> 21,283761.47633153154
SA,29,20 -> 23 -> 22 -> 21 -> 24 -> 16 -> 17 -> 15 -> 18 -> 19 -> 13 -> 11 -> 3 -> 4 -> 5 -> 9 -> 2 -> 6 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12,283761.4763315342
SA,30,0 -> 8 -> 2 -> 9 -> 6 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20 -> 12 -> 10 -> 14 -> 7 -> 1,283761.47633153485
NN,1,23 -> 22 -> 21 -> 24 -> 12 -> 10 -> 14 -> 9 -> 2 -> 6 -> 8 -> 0 -> 1 -> 7 -> 5 -> 4 -> 3 -> 11 -> 13 -> 15 -> 17 -> 16 -> 18 -> 19 -> 20,297100.430840814
